編號,用人機關類別 / 名稱,地點,職缺數
312,文化健康站 / 屏東縣瑪家鄉涼山社區發展協會,屏東縣瑪家鄉涼山社區發展協會,- 
313,文化健康站 / 屏東縣瑪家鄉瑪家社區發展協會,屏東縣瑪家鄉瑪家社區發展協會,- 
314,文化健康站 / 屏東縣潮州鎮原潮發展協會,屏東縣潮州鎮原潮發展協會,- 
315,政府部門 / 屏東縣霧臺鄉公所,臺鄉公所,- 
316,文化健康站 / 泰武鄉佳平社區發展協會,泰武鄉佳平社區發展協會,- 
317,超額進用原住民族廠商 / 財團法人大仁科技大學,財團法人大仁科技大學,5 
318,文化健康站 / 財團法人天主教會高雄教區山地教會,財團法人天主教會高雄教區山地教會,1 
319,原住民族機構 / 財團法人基督教中華循理會中心崙教會,財團法人基督教中華循理會中心崙教會,1 
320,文化健康站 / 財團法人基督教中華循理會吉露教會,財團法人基督教中華循理會吉露教會,1 
321,非營利組織 / 財團法人基督教芥菜種會,財團法人基督教芥菜種會,1 
322,非營利組織 / 基督教中華循理會潮州教會,基督教中華循理會潮州教會,1 
323,政府部門 / 衛生福利部南區老人之家,南區老人之家,1 
324,政府部門 / 衛生福利部屏東醫院,屏東醫院,1 
325,政府部門 / 大同鄉衛生所,宜蘭縣大同鄉衛生所,2 
326,文化健康站 / 天主教靈醫會醫療財團法人羅東聖母醫院,瑪沙舞部、羅東、三星文健站,3 
327,政府部門 / 宜蘭縣大同鄉公所,宜蘭縣大同鄉公所,3 
328,文化健康站 / 宜蘭縣大同鄉松羅社區發展協會,松羅文健站,1 
329,非營利組織 / 宜蘭縣司達吉斯部落產業永續發展協會,大同鄉原住民族家庭服務中心,1 
330,文化健康站 / 宜蘭縣司達吉斯部落產業永續發展協會,四方林文健站,1 
331,文化健康站 / 宜蘭縣司達吉斯部落產業永續發展協會,寒溪文健站,1 
332,文化健康站 / 宜蘭縣艮樣原住民部落永續營造發展協會,金洋文健站,- 
333,文化健康站 / 宜蘭縣東岳社區發展協會,東岳文健站,1 
334,文化健康站 / 宜蘭縣門諾漾文化推展協會,樂水文健站,1 
335,政府部門 / 宜蘭縣南澳鄉公所,宜蘭縣南澳鄉公所,5 
336,文化健康站 / 宜蘭縣南澳鄉武塔社區發展協會,武塔文健站,- 
337,文化健康站 / 宜蘭縣南澳鄉金岳社區發展協會,金岳文健站,- 
338,文化健康站 / 宜蘭縣南澳鄉原住民產業推展協會,南澳文健站,- 
339,非營利組織 / 宜蘭縣原住民文教促進會,宜蘭縣原住民文教促進會,- 
340,政府部門 / 宜蘭縣原住民事務所,宜蘭縣政府原住民族行政處,4 
341,文化健康站 / 宜蘭縣楓溪原住民永續促進協會,澳花文健站,- 
342,非營利組織 / 保證責任宜蘭縣原住民產銷合作社,保證責任宜蘭縣原住民產銷合作社,1 
343,政府部門 / 南澳鄉衛生所,宜蘭縣南澳鄉衛生所,2 
344,非營利組織 / 財團法人台灣基督教福利會,食物銀行羅東站,2 
345,非營利組織 / 財團法人宜蘭縣私立天主弘道仁愛之家,財團法人宜蘭縣私立天主弘道仁愛之家,2 
346,文化健康站 / 財團法人基督復臨安息日會台灣原住民教會崙埤佈道所,崙埤文健站,1 
347,超額進用原住民族廠商 / 山多環保顧問有限公司,山多環保顧問有限公司,1 
348,非營利組織 / 台灣太魯閣族語言發展學會,台灣太魯閣族語言發展學會,- 
349,原住民族機構 / 有限責任花蓮縣原住民陶撲閣機關勞務勞動合作社,有限責任花蓮縣原住民陶撲機關勞務勞動合作社,1 
350,非營利組織 / 有限責任花蓮縣原新農業生產合作社,有限責任花蓮縣原新農業生產合作社,1 
351,非營利組織 / 佛教慈濟醫療財團法人花蓮慈濟醫院,佛教慈濟醫療財團法人花蓮慈濟醫院等,5 
352,原住民族機構 / 那魯灣部落風味工坊,那魯灣北回歸線推廣中心,1 
353,非營利組織 / 社團法人台灣家庭照顧多元支持服務協會,社團法人台灣家庭照顧多元支持服務協會,1 
354,文化健康站 / 社團法人花蓮縣原住民舒漾婦女關懷成長協會,舒漾文化健康站,1 
355,非營利組織 / 社團法人花蓮縣家庭照顧者關懷協會,社團法人花蓮縣家庭照顧者關懷協會,1 
356,原家中心 / 花蓮縣七卡樹岸文化發展協會,吉安鄉、壽豐鄉原住民族家庭服務中心,1 
357,非營利組織 / 花蓮縣平森永續發展協會,花蓮縣平森永續發展協會,1 
358,政府部門 / 花蓮縣玉里鎮公所,花蓮縣玉里鎮公所,1 
359,文化健康站 / 花蓮縣玉里鎮安通社區發展協會,安通文化健康站,1 
360,公立學校 / 花蓮縣立吉安國民中學,花蓮縣立吉安國民中學,2 
361,公立學校 / 花蓮縣立富源國民中學,花蓮縣立富源國民中學,1 
362,文化健康站 / 花蓮縣光復鄉大馬太鞍社區發展協會,馬太鞍文化健康站,1 
363,政府部門 / 花蓮縣光復鄉公所,花蓮縣光復鄉公所,- 
364,文化健康站 / 花蓮縣光復鄉太巴塱社區營造協會,南付、馬佛文化健康站,1 
365,公立學校 / 花蓮縣光復鄉太巴塱國民小學,花蓮縣光復鄉太巴塑國民小學,- 
366,政府部門 / 花蓮縣光復鄉戶政事務所,花蓮縣光復鄉戶政事務所,- 
367,文化健康站 / 花蓮縣光復鄉嗨哩哇社區全人關懷協會,嗨嘿哇文化健康站,- 
368,超額進用原住民族廠商 / 花蓮縣光豐地區農會,花蓮縣光豐地區農會,1 
369,文化健康站 / 花蓮縣吉安鄉Lidaw部落文化發展協會,Lidaw文化健康站,1 
370,政府部門 / 花蓮縣吉安鄉公所,花蓮縣吉安鄉公所原住民事務所、文化館,- 
371,公立學校 / 花蓮縣吉安鄉化仁國民小學,花蓮縣吉安鄉化仁國民小學,- 
372,公立學校 / 花蓮縣吉安鄉稻香國民小學,花蓮縣吉安鄉稻香國民小學,2 
373,文化健康站 / 花蓮縣托瓦本全人關懷發展協會,托瓦本文化健康站,- 
374,政府部門 / 花蓮縣秀林鄉公所,花蓮縣秀林鄉公所及多處諮詢中心,- 
375,文化健康站 / 花蓮縣秀林鄉秀林社區發展協會,道拉斯文化健康站,- 
376,公立學校 / 花蓮縣秀林鄉崇德國民小學,花蓮縣秀林鄉崇德國民小學,- 
377,文化健康站 / 花蓮縣秀林鄉部落交流協會,加灣文化健康站,- 
378,公立學校 / 花蓮縣秀林鄉富世國民小學,花蓮縣秀林鄉富世國民小學,- 
379,文化健康站 / 花蓮縣秀林鄉榕樹社區發展協會,榕樹文化健康站,- 
380,文化健康站 / 花蓮縣秀林鄉慕谷慕魚護溪產業發展協會,銅門文化健康站,- 
381,政府部門 / 花蓮縣卓溪鄉公所,花蓮縣卓溪鄉公所,2 
382,公立學校 / 花蓮縣卓溪鄉立山國民小學,花蓮縣卓溪鄉立山國民小學,1 
383,政府部門 / 花蓮縣卓溪鄉衛生所,花蓮縣卓溪鄉衛生所,1 
384,公立學校 / 花蓮縣花蓮市中原國民小學,花蓮縣花蓮市中原國民小學,1 
385,政府部門 / 花蓮縣花蓮市公所,花蓮縣花蓮市公所、花蓮市立幼兒園,1 
386,政府部門 / 花蓮縣花蓮市戶政事務所,花蓮縣花蓮市戶政事務所,1 
387,公立學校 / 花蓮縣花蓮市明廉國民小學,花蓮縣花蓮市明廉國民小學,2 
388,文化健康站 / 花蓮縣花蓮市國福社區發展協會,國福撒固兒文化健康站,1 
389,政府部門 / 花蓮縣花蓮市衛生所,花蓮縣花蓮市衛生所,1 
390,政府部門 / 花蓮縣政府原住民行政處,花蓮縣政府原住民行政處、原住民族文化館,5 
391,文化健康站 / 花蓮縣美雅麥方舟關懷協會,美雅麥文化健康站,- 
392,文化健康站 / 花蓮縣原住民有機觀光農業發展協會,花蓮縣原住民有機觀光農業發展協會,1 
393,文化健康站 / 花蓮縣原住民社會福利工作協會,仁和文化健康站,- 
394,非營利組織 / 花蓮縣原住民族公共事務促進會,花蓮縣原住民族公共事務促進會,- 
395,文化健康站 / 花蓮縣原住民族原地啟飛永續發展協會,Mapolong kita文化健康站,- 
396,政府部門 / 花蓮縣消防局,花蓮縣消防局,- 
397,文化健康站 / 花蓮縣馬立雲營造協會,馬立雲文化健康站,- 
398,原家中心 / 花蓮縣馬里勿發展協會,花蓮縣鳳林鎮原住民族家庭服務中心,- 
399,公立學校 / 花蓮縣高級商業職業學校,花蓮縣高級商業職業學校(教務處、學務處),2 
400,文化健康站 / 花蓮縣部落全方位事業發展協會,重光文化健康站,1 
401,政府部門 / 花蓮縣富里鄉衛生所,花蓮縣富里鄉衛生所,- 
402,政府部門 / 花蓮縣新城鄉公所,花蓮縣新城鄉公所,1 
403,政府部門 / 花蓮縣新城鄉戶政事務所,花蓮縣新城鄉戶政事務所,1 
404,公立學校 / 花蓮縣新城鄉北埔國民小學,花蓮縣新城鄉北埔國民小學,2 
405,政府部門 / 花蓮縣新城鄉衛生所,花蓮縣新城鄉衛生所,1 
406,政府部門 / 花蓮縣瑞穗鄉公所,花蓮縣瑞穗鄉公所(各課室),1 
407,文化健康站 / 花蓮縣瑞穗鄉富民社區發展協會,富民文化健康站,1 
408,公立學校 / 花蓮縣瑞穗鄉富源國民小學,花蓮縣瑞穗鄉富源國民小學,1 
409,公立學校 / 花蓮縣瑞穗鄉瑞北國民小學,花蓮縣瑞穗鄉瑞北國民小學,1 
410,政府部門 / 花蓮縣瑞穗鄉衛生所,花蓮縣瑞穗鄉衛生所,1 
411,政府部門 / 花蓮縣萬榮鄉公所,花蓮縣萬榮鄉公所、文物館、圖書館,2 
412,政府部門 / 花蓮縣萬榮鄉戶政事務所,花蓮縣萬榮鄉戶政事務所,- 
413,原住民族機構 / 花蓮縣萬榮鄉西林社區發展協會,支亞干文化健康站,- 
414,公立學校 / 花蓮縣萬榮鄉明利國民小學,花蓮縣萬榮鄉明利國民小學,1 
415,文化健康站 / 花蓮縣萬榮鄉紅葉社區發展協會,花蓮縣萬榮鄉紅葉社區發展協會等,- 
416,文化健康站 / 花蓮縣萬榮鄉馬遠社區發展協會,馬遠固努安文化健康站,1 
417,公立學校 / 花蓮縣萬榮鄉馬遠國民小學,花蓮縣萬榮鄉馬遠國民小學,2 
418,文化健康站 / 花蓮縣萬榮鄉萬榮社區發展協會,摩里沙卡文化健康站,1 
419,政府部門 / 花蓮縣萬榮鄉衛生所,花蓮縣萬榮鄉衛生所,1 
420,政府部門 / 花蓮縣壽豐鄉公所,花蓮縣壽豐鄉公所、文物館,1 
421,公立學校 / 花蓮縣壽豐鄉水璉國民小學,花蓮縣壽豐鄉水璉國民小學,1 
422,文化健康站 / 花蓮縣壽豐鄉溪口社區發展協會,溪口文化健康站,- 
423,原住民族機構 / 花蓮縣壽豐鄉壽農社區發展協會,壽豐文化健康站等,- 
424,政府部門 / 花蓮縣壽豐鄉衛生所,花蓮縣壽豐鄉衛生所,- 
425,政府部門 / 花蓮縣鳳林鎮戶政事務所,花蓮縣鳳林鎮戶政事務所,- 
426,政府部門 / 花蓮縣鳳林鎮衛生所,花蓮縣鳳林鎮衛生所,- 
427,政府部門 / 花蓮縣環境保護局,花蓮縣環境保護局,1 
428,政府部門 / 花蓮縣豐濱鄉公所,花蓮縣豐濱鄉公所、圖書館,2 
429,政府部門 / 花蓮縣豐濱鄉衛生所,花蓮縣豐濱鄉衛生所,1 
430,文化健康站 / 花蓮縣豐濱鄉豐濱社區發展協會,花蓮縣豐濱鄉豐濱社區發展協會等,1 
431,文化健康站 / 花蓮縣鶴岡社區營造協會,星拉力文化健康站,- 
432,文化健康站 / 財團法人天主教會花蓮教區,三棧文化健康站、鳳信文化健康站,1 
433,非營利組織 / 財團法人基督教芥菜種會,財團法人基督教芥菜種會-花蓮中心,1 
434,公營事業 / 國營臺灣鐵路股份有限公司東區營運處,北埔、花蓮、吉安等各站,5 
435,政府部門 / 大武鄉公所,大武鄉公所,2 
436,文化健康站 / 中華民國原鄉慈善協會,新福文化健康站,1 
437,文化健康站 / 中華基督得勝教會全人關懷協會,南興文化健康站,1 
438,非營利組織 / 天主教花蓮教區醫療財團法人-台東聖母醫院,泰源部落保健室,1 
439,政府部門 / 太麻里鄉公所,太麻里鄉公所,2 
440,原住民族機構 / 卡塔文化工作室,卡塔文化工作室,1 
441,非營利組織 / 台東縣東園儲蓄互助社,台東縣東園儲蓄互助社,1 
442,文化健康站 / 台灣新興原住民文化發展協會,稻葉文化健康站,1 
443,政府部門 / 成功鎮公所,成功鎮公所,2 
444,政府部門 / 成功鎮衛生所,成功鎮衛生所,1 
445,原住民族機構 / 有限責任台灣第二照顧服務勞動合作社,有限責任台灣第二照顧服務勞動合作社,1 
446,非營利組織 / 有限責任臺東縣原住民布拉谷果菜生產合作社,有限責任臺東縣原住民布拉谷果菜生產合作社,1 
447,政府部門 / 池上鄉公所,池上鄉公所,2 
448,政府部門 / 池上鄉衛生所,池上鄉衛生所,1 
449,超額進用原住民族廠商 / 杏飲診所,杏飲診所,1 
450,政府部門 / 卑南鄉公所,卑南鄉公所,2 
451,政府部門 / 卑南鄉衛生所,卑南鄉衛生所,1 
452,政府部門 / 延平鄉公所,延平鄉公所,2 
453,政府部門 / 東河鄉公所,東河鄉公所,2 
454,政府部門 / 東河鄉衛生所,東河鄉衛生所,1 
455,超額進用原住民族廠商 / 知本金聯世紀酒店,知本金聯世紀酒店,2 
456,文化健康站 / 社團法人台東縣原住民族全人發展關懷協會,卑南鄉賓朗文化健康站,1 
457,非營利組織 / 社團法人臺東縣友善關懷協會,社團法人臺東縣友善關懷協會,1 
458,文化健康站 / 社團法人臺東縣南迴健康促進關懷服務協會,加津林文化健康站,1 
459,文化健康站 / 社團法人臺東縣南迴健康促進關懷服務協會,愛國蒲文化健康站,1 
460,文化健康站 / 社團法人臺東縣南迴健康促進關懷服務協會,新化文化健康站,- 
461,非營利組織 / 社團法人臺東縣紅十字會,社團法人臺東縣紅十字會,2 
462,原住民族機構 / 社團法人臺東縣原住民藝能美學教育推廣協會,社團法人臺東縣原住民藝能美學教育推廣協會,2 
463,文化健康站 / 社團法人臺東縣原社牧人社會福利慈善關懷協會,成功芝田文化健康站,1 
464,政府部門 / 金峰鄉公所,金峰鄉公所,1 
465,非營利組織 / 金峰鄉正興社區發展協會,金峰鄉正興社區發展協會,1 
466,政府部門 / 長濱鄉公所,長濱鄉公所,2 
467,政府部門 / 長濱鄉衛生所,長濱鄉衛生所,1 
468,超額進用原住民族廠商 / 恆康企業社,恆康企業社,2 
469,文化健康站 / 查拉密社區發展協會,查拉密文化健康站,1 
470,超額進用原住民族廠商 / 峰忠傳奇有限公司,峰忠傳奇有限公司,1 
471,文化健康站 / 財團法人原鄉部落重建文教基金會,新香蘭文化健康站,1 
472,受政府捐助之財團法人 / 財團法人核廢料蘭嶼貯存場補償基金會,蘭嶼貯存場使用雅美(達悟)族原住民保留地損失補償基金會,- 
473,文化健康站 / 財團法人基督教芥菜種會,椰油部落文化健康站,- 
474,文化健康站 / 財團法人基督教芥菜種會,朗島部落文化健康站,1 
475,非營利組織 / 財團法人基督教芥菜種會,財團法人基督教芥菜種會/台東中心,1 
476,文化健康站 / 財團法人基督復臨安息日會台灣原住民教會正興教會,正興文化健康站,1 
477,非營利組織 / 財團法人蘭恩文教基金會,長照據點既像弄C站,- 
478,政府部門 / 鹿野鄉公所,鹿野鄉公所,2 
479,政府部門 / 鹿野鄉衛生所,鹿野鄉衛生所,1 
480,政府部門 / 達仁鄉公所,達仁鄉公所,2 
481,文化健康站 / 達仁鄉南田社區發展協會,南田文健站,1 
482,政府部門 / 達仁鄉衛生所,達仁鄉衛生所,1 
483,政府部門 / 臺東市公所,臺東市公所,2 
484,政府部門 / 臺東市衛生所,台東市衛生所,2 
485,文化健康站 / 臺東縣asiloai阿西路愛部落文化發展協會,阿西路愛文健康站,- 
486,文化健康站 / 臺東縣巴布薩文化協進會,巴布麓文化健康站,1 
487,文化健康站 / 臺東縣巴蘭文化發展協會,Mulivelivek文化健康站,- 
488,文化健康站 / 臺東縣成功鎮三仙社區發展協會,比西里岸文化健康站,- 
489,文化健康站 / 臺東縣池上鄉陸安部落永續發展協會,陸安文化健康站,- 
490,非營利組織 / 臺東縣金峰鄉嘉蘭社區發展協會,臺東縣金峰鄉嘉蘭社區發展協會,- 
491,文化健康站 / 臺東縣金峰鄉歷坵社區發展協會,歷坵文化健康站,- 
492,文化健康站 / 臺東縣長濱鄉光榮社區發展協會,僅那鹿角文化健康站,- 
493,文化健康站 / 臺東縣長濱鄉南竹湖社區發展協會,南竹湖部落文化健康站,- 
494,文化健康站 / 臺東縣長濱鄉南溪社區發展協會,南溪文化健康站,1 
495,政府部門 / 臺東縣政府-原住民族行政處,臺東縣政府-原住民族行政處,2 
496,文化健康站 / 臺東縣迦南樂活全人關懷協會,麻漏文化健康站,1 
497,文化健康站 / 臺東縣原住民Farangaw發見熱鬧部落文化發展協會,馬蘭部落文化健康站,1 
498,非營利組織 / 臺東縣原住民東魯凱文化教育協進會,臺東縣原住民東魯凱文化教育協進會,- 
499,文化健康站 / 臺東縣原住民族夏娃綠岸全人關懷協會,長光文化健康站,- 
500,文化健康站 / 臺東縣原住民族夏娃綠岸全人關懷協會,八桑安文化健康站,- 
501,原住民族機構 / 臺東縣原住民族傳統技藝與文創人才培訓推廣協會,臺東縣原住民族傳統技藝與文創人才培訓推廣協會,1 
502,文化健康站 / 臺東縣原住民愛加倍全人關懷協會,新興文化健康站,- 
503,文化健康站 / 臺東縣原鄉永續發展協會,德高文化健康站,- 
504,文化健康站 / 臺東縣原鄉永續發展協會,隆興文化健康站,- 
505,非營利組織 / 臺東縣原愛工坊協會,臺東縣原愛工坊協會,- 
506,文化健康站 / 臺東縣射馬干青年文化發展協會,建和文健站,- 
507,文化健康站 / 臺東縣海端鄉利稻社區發展協會,利稻文化健康站,- 
508,文化健康站 / 臺東縣海端鄉崁頂社區發展協會,崁頂文化健康站,- 
509,文化健康站 / 臺東縣聖佳琳原住民關懷發展協會,山領榴文化健康站,- 
510,文化健康站 / 臺東縣臺東市南王社區發展協會,南王文化健康站,- 
511,文化健康站 / 臺東縣撒舒而雅部落文化發展協會,撒舒而雅文化健康站,1 
512,文化健康站 / 臺東縣關山鎮電光社區發展協會,電光文化健康站,- 
513,政府部門 / 衛生福利部臺東醫院,衛生福利部臺東醫院,- 514,臺東縣政府,政府部門 / 關山鎮公所,關山鎮公所,2 
515,臺東縣政府,政府部門 / 蘭嶼鄉公所,蘭嶼鄉公所,2 
516,不分區,政府部門 / 原住民族委會,教育文化處,2 
517,不分區,政府部門 / 原住民族委會,綜合規劃處,1 
518,不分區,政府部門 / 原住民族委會,經濟發展處,1 
519,不分區,政府部門 / 原住民族委會,土地管理處,3 
520,不分區,政府部門 / 原住民族委會,社會福利處,1 
521,不分區,政府部門 / 國立原住民族博物館籌備處,國立原住民族博物館籌備處,3 
522,不分區,政府部門 / 原住民族委會,秘書室,1 
523,不分區,政府部門 / 原住民族委會,主計室,- 
524,不分區,政府部門 / 原住民族委會,人事室,1 
525,不分區,受政府捐助之財團法人 / 財團法人原住民族語言研究發展基金會,-,6 
526,不分區,受政府捐助之財團法人 / 財團法人原住民族文化事業基金會,-,9 
