編號,用人機關類別 / 名稱,地點,職缺數
76,原住民族機構 / 擎天創意企業社,擎天創意企業社,1 
77,文化健康站 / 中華民國都市原住民山光全人關懷促進會,中華民國都市原住民山光全人關懷促進會,1 
78,受政府捐助之財團法人 / 財團法人工業技術研究院,財團法人工業技術研究院,2 
79,受政府捐助之財團法人 / 財團法人中華民國輻射防護協會,財團法人中華民國輻射防護協會,1 
80,非營利組織 / 財團法人至善社會福利基金會,尖石鄉原家中心等多處據點,5 
81,受政府捐助之財團法人 / 財團法人農業科技研究院,財團法人農業科技研究院,1 
82,政府部門 / 新竹縣五峰鄉公所,新竹縣五峰鄉公所,3 
83,文化健康站 / 新竹縣五峰鄉勒俄臘觀光文化休閒農業促進會,花固、清泉、竹林、茅圃文健站等,- 
84,政府部門 / 新竹縣尖石鄉公所,新竹縣尖石鄉公所,1 
85,文化健康站 / 新竹縣尖石鄉玉峰社區發展協會,玉峰文化健康站,1 
86,文化健康站 / 新竹縣尖石鄉部落家庭成長文化協會,新竹縣尖石鄉部落家庭成長文化協會,1 
87,文化健康站 / 新竹縣竹東鎮原住民家庭文化成長協會,新竹縣竹東鎮原住民家庭文化成長協會,3 
88,政府部門 / 新竹縣政府原住民族行政處,新竹縣政府原住民族行政處,- 
89,文化健康站 / 新竹縣都市原住民關懷協會,新竹縣都市原住民關懷協會,1 
90,非營利組織 / 新竹縣聖山全人關懷協會,新竹縣聖山全人關懷協會,- 
91,文化健康站 / 新竹縣磐石文教產業發展協會,新竹縣磐石文教產業發展協會,3 
92,公營事業 / 苗栗肉品市場股份有限公司,苗栗肉品市場股份有限公司,1 
93,政府部門 / 苗栗縣南庄鄉衛生所,苗栗縣南庄鄉衛生所,1 
94,政府部門 / 苗栗縣政府,賽夏族民俗文物館,1 
95,政府部門 / 苗栗縣政府,苗栗縣泰雅文物館,- 
96,非營利組織 / 苗栗縣原住民工藝協會,苗栗縣原住民工藝協會,- 
97,文化健康站 / 苗栗縣泰安鄉大安文化健康關懷協會,苗栗縣大安部落文化健康站,- 
98,文化健康站 / 苗栗縣泰安鄉象鼻社區發展協會,象鼻社區文化健康站,- 
99,非營利組織 / 苗栗縣斯瓦細格部落文化觀光產業發展協會,苗栗縣斯瓦細格部落文化觀光產業發展協會,- 
100,原住民族機構 / 苗栗縣賽夏族瓦祿部落發展協會,苗栗縣賽夏族瓦祿部落發協會,- 
101,文化健康站 / 台灣基督長老教會泰雅爾中會士林教會,苗栗縣泰安鄉士林部落文化健康站,12 
102,文化健康站 / 台灣基督長老教會泰雅爾中會山城教會,苗栗市山城文化健康站,1 
103,文化健康站 / 台灣基督長老教會泰雅爾中會斯瓦細格教會,斯瓦細格文化健康站,1 
108,非營利組織 / 台灣原住民族傳統文化暨領域保護協會,台灣原住民族傳統文化暨領域保護協會,2 
109,政府部門 / 外交部中部辦事處,外交部中部辦事處,- 
110,文化健康站 / 東勢區山城樂文化健康站,東勢區山城樂文化健康站,- 
111,非營利組織 / 社團法人台中市基督教福樂豐盛協會,社團法人台中市基督教福樂豐盛協會,- 
112,非營利組織 / 社團法人原住民深耕德瑪汶協會,社團法人原住民深耕德瑪汶協會,1 
113,非營利組織 / 社團法人臺中市天恩社區關懷協會,社團法人臺中市天思社區關懷協會,- 
114,非營利組織 / 社團法人臺中市多福教育關懷協會,社團法人臺中市多福教育關懷協會,- 
115,文化健康站 / 社團法人臺中市基督教向前協會,大肚區文化健康站,- 
116,非營利組織 / 阿玲玲工坊,阿玲玲工坊,- 
117,非營利組織 / 保證責任臺中市原民見學勞動合作社,保證責任臺中市原民見學勞動合作社,- 
118,文化健康站 / 南勢社區發展協會,南勢文化建康站,1 
119,文化健康站 / 哈崙台文化健康站,哈崙台文化健康站,1 
120,非營利組織 / 台灣基督教長老教會泰雅爾中會雪山教會,雪山坑文健站,1 
121,非營利組織 / 基督復臨安息日會台灣原住民教會雙崎教會,基督復臨安息日會台灣原住民教會雙崎教會,1 
122,政府部門 / 國家科學與技術委員會中部科學園區管理局,國家科學與技術委員會中部科學園區管理局,1 
123,政府部門 / 臺中市大雅區衛生所,臺中市大雅區衛生所,1 
124,政府部門 / 臺中市北區區公所,臺中市北區區公所,1 
125,政府部門 / 臺中市北區衛生所,臺中市北區衛生所,1 
126,公立學校 / 臺中市立和平國民中學,臺中市立和平國民中學,1 
127,政府部門 / 臺中市西屯區衛生所,臺中市西屯區衛生所,1 
128,非營利組織 / 臺中市私立百合居家式服務類長期照顧服務機構,臺中市私立百合居家式服務類長期照顧服務機構,1 
129,非營利組織 / 臺中市和平區三叉坑社區發展協會,臺中市和平區三叉坑社區發展協會,1 
130,政府部門 / 臺中市和平區公所,臺中市和平區公所,2 
131,非營利組織 / 臺中市和平區健康促進推廣協會,臺中市和平區健康促進推廣協會,1 
132,文化健康站 / 臺中市和平區裡冷社區發展協會,裡冷文化健康站,1 
133,文化健康站 / 臺中市和平區達觀社區發展協會,達觀文化健康站,1 
134,政府部門 / 臺中市和平區衛生所,臺中市和平區衛生所,1 
135,政府部門 / 臺中市東勢地政事務所,臺中市東勢地政事務所,- 
136,政府部門 / 臺中市南屯區公所,臺中市南屯區公所,- 
137,政府部門 / 臺中市南區區公所,臺中市南區區公所,- 
138,政府部門 / 臺中市政府交通局,臺中市政府交通局,- 
139,政府部門 / 臺中市政府客家事務委員會,臺中市政府客家事務委員會,1 
140,政府部門 / 臺中市政府原住民族事務委員會,臺中市政府原住民族事務委員會,4 
141,政府部門 / 臺中市政府都市發展局,臺中市政府都市發展局(使用管理科),- 
142,政府部門 / 臺中市食品藥物安全處,臺中市食品藥物安全處,- 
143,非營利組織 / 臺中市原住民族文化教育體育發展協會,后里區文化健康站,- 
144,文化健康站 / 臺中市原住民族全人照顧服務協會,太平新光里文化健康站,- 
145,非營利組織 / 臺中市原住民族勞工權益促進會,台中市原住民食物銀行,- 
146,非營利組織 / 臺中市原住民族運動總會,臺中市原住民族運動總會,- 
147,非營利組織 / 臺中市原住民族獵人教育文化發展協會,臺中市原住民族獵人教育文化發展協會,- 
148,非營利組織 / 臺中市原住民族攝影協會,臺中市原住民族攝影協會,1 
149,政府部門 / 臺中市烏日區衛生所,臺中市烏日區衛生所,- 
150,文化健康站 / 臺中市都會區原住民家庭服務暨社區人文關懷協會,豐原文化健康站,1 
151,文化健康站 / 臺中市獅子同鄉會,新社文化健康站,- 
152,非營利組織 / 仁愛鄉農會,仁愛鄉農會,2 
153,非營利組織 / 有限責任南投縣仁愛鄉原住民果樹生產合作社,有限責任南投縣仁愛鄉原住民果樹生產合作社,1 
154,非營利組織 / 社團法人南投縣家庭共好協會,社團法人南投縣家庭共好協會,- 
155,非營利組織 / 信義鄉農會,信義鄉農會梅子夢工廠,- 
